MetaID,PACl Dose (mg/L),Nominal Dose (mg/L),Capture Velocity (mm/s),pH,Initial pH,Flow Rate (mL/s),Flocculator Head Loss (cm),Total Head Loss (cm),Datum (cm),AC Depth (cm),Air Temperature (C),Water Temperature (C),AC Temperature (C),Influent Turbidity (NTU),Influent SEM (NTU),Initial Influent (NTU),Effluent Turbidity (NTU),Effluent SEM (NTU),Absorbance,Absorbance SEM,Initial Absorbance
71,2.77498,2.72,0.2,7.516568728,7.785328751,110.8973653,90.39944634,130.0871617,27.26,25.2716662,24.96148069,23.21607429,21.98364019,90.02009979,0.190682594,0.0718,0.370799998,0.009883851,7.517516398,9.40E-06,0.009526
72,2.771308714,2.72,0.3,7.513869371,7.785328751,110.8973653,90.34670189,130.0529074,27.26,25.36317554,24.96865999,23.24635838,21.99518288,90.04939972,0.212339502,0.0718,0.681399997,0.011011491,7.516532851,1.25E-05,0.009526
73,2.786533068,2.72,0.4,7.517259546,7.785328751,110.8973653,90.37490595,130.1031312,27.26,25.31645648,25.04747374,23.25950504,22.00277064,90.04732619,0.18598212,0.0718,2.348217813,0.027038438,7.512118321,3.12E-05,0.009526
74,2.792327455,2.72,0.5,7.511630559,7.785328751,110.8973653,90.38851309,130.2010039,27.26,25.34882525,25.03475495,23.27776933,21.96832251,89.90504909,0.203074293,0.0718,6.254752443,0.106088659,7.514822653,0.000133369,0.009526
75,2.772697534,2.72,0.6,7.516640817,7.785328751,110.8973653,90.48569316,130.0281934,27.26,25.51566087,25.1096507,23.29735227,22.07085566,90.39193603,0.405048302,0.0718,11.46516129,0.137585044,7.508856957,0.000118845,0.009526
76,0,0,0.1,7.723626533,8.088253315,117.1894144,92.18575859,130.2950093,26.89,25.30849602,24.5219541,23.05941362,22.00642111,90.16879944,0.231018102,0.045212766,54.98499996,0.068114059,7.726948485,9.46E-05,0.015957447
77,0,0,0.2,7.724255862,8.088253315,117.1894144,92.09992882,130.3338163,26.89,25.07616085,24.33239838,23.00991501,21.99756514,89.98849945,0.194980872,0.045212766,63.61629982,0.047152797,7.727719221,8.08E-05,0.015957447
78,0,0,0.3,7.734360177,8.088253315,117.1894144,92.24433767,130.2914191,26.89,25.25668989,24.21211687,22.97999971,21.99025539,90.35344814,0.245197793,0.045212766,68.12810253,0.041829337,7.727754437,3.26E-05,0.015957447
79,0,0,0.4,7.731827455,8.088253315,117.1894144,92.22667351,130.2744278,26.89,25.18336004,24.15730377,22.95200907,22.00967289,89.72749947,0.188426151,0.045212766,72.04639999,0.030682295,7.740752597,3.36E-05,0.015957447
80,0,0,0.5,7.736567181,8.088253315,117.1894144,92.20259925,130.2568853,26.89,25.2325308,24.10644459,22.94926919,22.03604691,90.0961377,0.199256397,0.045212766,73.80792055,0.026637776,7.733841891,3.24E-05,0.015957447
81,0,0,0.6,7.734694386,8.088253315,117.1894144,92.01233521,130.3132904,26.89,25.15405807,24.07850772,22.93180406,21.95193972,89.96628658,0.264451941,0.045212766,75.19342804,0.039858869,7.747499439,2.10E-05,0.015957447
82,0.410313049,0.41,0.1,7.644865676,8.074025068,115.3711147,97.85106911,130.0905227,27.16,25.13362165,24.4340172,21.74566401,21.9898793,90.02629974,0.230747773,0.031590909,2.463099993,0.026466939,7.647973185,1.74E-05,0.014447727
83,0.408865988,0.41,0.2,7.636862192,8.074025068,115.3711147,98.01180992,130.1420413,27.16,25.22595862,24.42830223,21.91755863,21.99627937,89.72909973,0.215613291,0.031590909,4.720699973,0.020967628,7.644557142,1.37E-05,0.014447727
84,0.407958613,0.41,0.3,7.636010036,8.074025068,115.3711147,98.09821045,130.0727777,27.16,25.30444856,24.43216597,22.05500422,21.96904281,89.9632,0.238958142,0.031590909,11.37289997,0.063744961,7.63520679,2.72E-05,0.014447727
85,0.408104511,0.41,0.4,7.64150991,8.074025068,115.3711147,97.9619294,130.041846,27.16,25.19782728,24.45336161,22.23496414,21.95940365,90.13199944,0.276656563,0.031590909,24.34329981,0.047130823,7.637632102,3.04E-05,0.014447727
86,0.408613953,0.41,0.5,7.632449541,8.074025068,115.3711147,97.8556572,130.0759967,27.16,25.20516777,24.46416306,22.44578945,21.99550255,89.97559944,0.232388837,0.031590909,36.87499985,0.06648027,7.637588644,5.46E-05,0.014447727
87,0.386208717,0.41,0.6,7.63892559,8.074025068,115.3711147,97.89471348,130.0752911,27.16,25.32694142,24.4491225,22.58899285,22.06640024,89.90653757,0.422088669,0.031590909,48.4396154,0.170323207,7.637898133,0.000152043,0.014447727
88,0.853908187,0.88,0.1,7.621508909,8.149627114,114.9549345,95.54920548,130.3720077,26.96,25.25122463,24.23209906,22.71379591,21.95682125,90.28199951,0.245336102,0.0676,0.516599996,0.014624057,7.623571844,1.22E-05,0.015372
89,0.84894505,0.88,0.2,7.61288261,8.149627114,114.9549345,95.98258377,130.3804474,26.96,25.33110468,24.25153555,22.73094692,21.95326822,89.57069977,0.257865479,0.0676,0.901799998,0.009616253,7.618306865,9.50E-06,0.015372
90,0.849537681,0.88,0.3,7.617362003,8.149627114,114.9549345,95.99688003,130.3946311,26.96,25.33860362,24.15475475,22.71353829,22.00802669,90.01752419,0.225533541,0.0676,1.55990098,0.011675051,7.611890132,1.19E-05,0.015372
91,0.848614971,0.88,0.4,7.616223631,8.149627114,114.9549345,95.9910128,130.3897105,26.96,25.33506826,24.07176523,22.68961815,22.00269426,90.08029945,0.257995276,0.0676,4.334699983,0.020033032,7.615472755,1.62E-05,0.015372
92,0.8521795,0.88,0.5,7.609662051,8.149627114,114.9549345,95.95157074,130.380828,26.96,25.33394781,24.00070911,22.68874861,22.04508835,89.75899948,0.248115845,0.0676,9.413299971,0.036911865,7.612687492,2.56E-05,0.015372
93,0.860840265,0.88,0.6,7.615680186,8.149627114,114.9549345,96.18498535,130.3108224,26.96,25.30827675,23.97355518,22.68187428,21.95058734,89.73266678,0.40103574,0.0676,17.81033331,0.098992013,7.616964324,0.000189584,0.015372
94,1.403911723,1.4,0.1,7.485327971,7.972256033,114.0731528,89.82590401,130.4205446,26.9,25.26785979,25.21363768,23.21516079,21.99427497,90.49178224,0.220783379,0.028636364,0.462079207,0.018123513,7.492214958,1.36E-05,0.012322727
95,1.403224021,1.4,0.2,7.481898956,7.972256033,114.0731528,89.69556114,130.3872618,26.9,25.27196096,25.36879738,23.28444048,22.053216,90.06569977,0.228267807,0.028636364,0.842599997,0.014460408,7.491943889,1.25E-05,0.012322727
96,1.404126774,1.4,0.3,7.488818627,7.972256033,114.0731528,89.49454788,130.4888744,26.9,25.30356255,25.53180378,23.33894901,21.95458035,90.21879997,0.233052449,0.028636364,1.300499996,0.013939534,7.485082192,1.20E-05,0.012322727
97,1.402435672,1.4,0.4,7.491197968,7.972256033,114.0731528,88.96224854,130.3163854,26.9,25.28478813,25.54516544,23.39926889,22.03020353,89.96589966,0.233010937,0.028636364,3.003499992,0.021711783,7.492083745,1.94E-05,0.012322727
98,1.404961517,1.4,0.5,7.486936054,7.972256033,114.0731528,89.4312645,130.2447059,26.9,25.21858793,25.49558046,23.40358299,22.00514524,89.80439949,0.229737793,0.028636364,7.0219,0.031112599,7.495286389,2.32E-05,0.012322727
99,1.404043699,1.4,0.6,7.498301694,7.972256033,114.0731528,89.62486244,130.3805823,26.9,25.36158492,25.55324624,23.42140666,22.23307008,89.95484739,0.442391886,0.028636364,13.98151505,0.110463994,7.495292895,0.000107996,0.012322727
100,2.030219236,2.01,0.1,7.487236286,8.028294062,111.9267689,93.28561646,130.3184409,26.95,25.33889597,24.99600824,23.23739685,21.97688978,90.06279999,0.277523854,0.063157895,0.2076,0.005597835,7.477573657,1.05E-05,0.013305263
101,2.029195285,2.01,0.2,7.47886877,8.028294062,111.9267689,93.3411029,130.3300742,26.95,25.32669277,25.11407484,23.23442221,21.99732454,90.26360024,0.273231044,0.063157895,0.463699998,0.00995815,7.471381273,9.14E-06,0.013305263
102,2.031102352,2.01,0.3,7.476312394,8.028294062,111.9267689,93.13752068,130.4965531,26.95,25.31544098,25.14429848,23.26339615,21.99961489,89.63689995,0.260583314,0.063157895,0.690600001,0.009023896,7.470155454,1.18E-05,0.013305263
103,2.032158667,2.01,0.4,7.46928953,8.028294062,111.9267689,93.00433931,130.3663141,26.95,25.40075177,25.13684067,23.2452598,22.02480241,90.15960346,0.254060085,0.063157895,1.697722768,0.014724453,7.477610498,1.35E-05,0.013305263
104,2.027203385,2.01,0.5,7.475840692,8.028294062,111.9267689,92.73205597,130.419392,26.95,25.30180777,25.07226147,23.24228617,21.95774426,90.3969001,0.259754616,0.063157895,4.406000011,0.031708905,7.469785528,2.50E-05,0.013305263
105,2.0190005,2.01,0.6,7.471632709,8.028294062,111.9267689,93.12011321,130.3555741,26.95,25.56084803,25.0093096,23.22603549,21.8858142,89.69913068,0.343305598,0.063157895,10.39217386,0.323937281,7.510776458,0.000379926,0.013305263
106,2.519166744,2.72,0.1,7.467936412,7.970451179,120.2533964,112.1339388,129.8447241,27.24,25.07660194,24.88218075,23.19080246,21.98422449,89.93181502,0.127736128,0.052105263,0.421584156,0.009385555,7.464036291,1.02E-05,0.013810526
107,2.51742235,2.72,0.2,7.461000558,7.970451179,120.2533964,111.9131599,129.807013,27.24,25.19666215,24.8420611,23.15039709,21.99716346,89.89639961,0.210316414,0.052105263,0.799600001,0.012438065,7.464725385,1.31E-05,0.013810526
108,2.513878005,2.72,0.3,7.456148677,7.970451179,120.2533964,111.1720187,129.7650215,27.24,25.11856394,24.92973057,23.13045712,22.00294453,90.01909958,0.22213106,0.052105263,1.452499992,0.015095236,7.460875607,1.51E-05,0.013810526
109,2.513918472,2.72,0.4,7.46022522,7.970451179,120.2533964,111.1105146,129.8567885,27.24,25.05009714,24.89788258,23.12813599,21.99240606,89.86079933,0.22558182,0.052105263,3.954300003,0.032096212,7.45417912,3.09E-05,0.013810526
110,2.515049799,2.72,0.5,7.458522256,7.970451179,120.2533964,110.9228614,129.8730875,27.24,25.05198188,24.96521415,23.1378803,21.99327059,89.50064964,0.333915617,0.052105263,8.471899982,0.091488485,7.455955596,0.000117955,0.013810526
111,2.511775324,2.72,0.6,7.453197503,7.970451179,120.2533964,110.5695604,129.8455816,27.24,25.16543159,24.94231978,23.13800182,21.9889286,90.63449993,0.313454701,0.052105263,13.57749994,0.225157704,7.508831596,0.000423251,0.013810526
